id,tweet,sarcastic,rephrase,dialect
233,الخال والد وانا بحب خالى جدا لانه مثل ابى كثيرا  ويعتنى بى,1,الخال مثل الاب بالنسبه لى فهو يحمينى ويعتنى بى ,nile
234,دخل إلى المخفر صائحا لقد قتلت زوجتي فسأله رجل الشرطة و أين هي الآن فأجاب إنها تركض ورائي ,1,زوجة بألف روح ,msa
235,عامل فيها ميسي وهو حسن بطه,1,مبيعرفش يلعب,nile
236,القرد في عين امو غزال,1,شكلو مش حلو ,nile
237,الله علي اخلاقك يا فخر العرب,1,جودة اخلاق محمد صلاح,nile
238,انت اصلا من بنها يبني شوف انت رايح فين,1,انت مش من هنا,nile
239,ايه يا واد الذكاء دا كله,1,ايه الغباء ده,nile
240,اه منا لو كنت بنت كنت رديت عليا,1,بترد علي البنات بس,nile
241,النادي الاهلي اشرف نادي في الكون,1,النادي الاهلي غير شريف,msa
242,كلام الناس لا بيقدم ولا ياخر كلام الناس ملامه وغيره,1,كلا التاس غير مهم فى اى موضوع,nile
243,فى المدرسه بيعلموك ثم يعطوك الامتحان فى الحياه الامتحان الاول,1,الحياه امتحانها صعب وياتى بعده الدرس,msa
244,نفسي اعرف بنت و اقولها كام المهر تقولي يا رجاال عيب مو بينا,1,التزوج بدون دفع مهر,gulf
245,شفت دي آخرة اللي يجي علي الولاية,1,اللي بيظلم واحدة ست نهايته وحشة,nile
246,كنت حاسس نفسي بتفرج علي الجونه وحرس الحدود اقسم بالله,1,مباراة مصر وانجولا اداء الفريقين سئ جدا,nile
247,ماشالله حسام البدري اللعيبه اللي من دهب معاه تراب,1,حسام البدري مدرب فاشل,nile
248,طيب كويس اجي بقا لأني عفنت في مصر ,1,اسافر الامارات عشان قعدت كتير في مصر,nile
249,قسما بالله الجزائر تعمل مننا بطاطس محمره,1,الجزائر هتهزمنا بكل سهولة في كرة القدم,nile
250,دا عامل نفسه سبع البرمبه ,1,دا فاشل,nile
251,اصبر على جار السوء يا يرحل يا تجيله داهية تأخذه.,1, على مساوئ الجار,nile
252,يا مستني السمنة من دهن النملة عمرك ما حتقلي.,1,يا منتظر العز من غيرك لن تناله,nile
253,زي اللي رقصت على السلم، لا للي فوق شافها ولا اللي تحت شافها.,1,شخص اهبل,nile
254,ده فاكر نفسه باشا و بيه كمان,1,ده مغرور و شايف نفسه علىالناس,nile
255,مافي حدا مثله يضحك عليك,1,مفيش حد مثله في الخداع,levant
256,المصريين في الفهلوة مفيش زيهم,1,أن المصريين يحبوا يبينوا نفسهم عارفين كل حاجة,nile
257,حينما يتحدث العقل مع القلب في الصلاة فإن القلب ينعم بالدفئ,1,لما يكون الشخص يصلي بعمق,nile
258,محمد رمضان أخذ الدكتوراة الفخرية يالا سخرية القدر,1,محمد رمضان اخد دكتوراة لا يستحقها,msa
259,امشي عدل يحتار عدوك فيك,1,خليك كويس مع الناس,nile
260,المتعوس متعوس ولو علقوا علي باب بيته فانوس,1,الشخص النحس نحس,nile
261,شوفت المقلب شو مسوي ، اعمل نفسك مو عارف ,1,انه عارف المقلب و بيمثل,gulf
262,الشحات له نص البلد يا بلد,1,الشحات لما يكون بيشحت هو مش محتاج,nile
263,انت اكيد مش انت وانت جعان ، كل كويس احسنلك,1,إنه يتغير لما مش بياكل كويس ويتغير ,nile
264,أبوك البصل وأمك التوم، منين لك الريحة الحلوة يا مشؤوم,1,يعني انت مشروم دائما هاتنبسط ازاي,nile
265,لي يشجع أرسنال ما عندوش ضغط قبل الماتش هههه,1,لي يشجع أرسنال عارف بلي خاسر خاسر يتفرج بلا ضغط,magreb
266,رياض محرز لبس لتايلور الحجاب الله على أخلاقك,1,رياض محرز يستر زوجته تايلور,magreb
267,كي نبعثلك ميساج من الجزائر الجديدة من وين ترد عليا ههه,1,الجزائر الجديدة هي نفسها الجزائر القديمة,magreb
268,حنا الماليك تعنا يعطينا البنان عاش الماليك هههه,1,الشعب المغربي يركع لغير الله و فرحان,magreb
269,كون ماشي قطعو الانترنت في لوتال جيبوتي تربح الجزائر ههه,1,جيبوتي خسرو الماتش 8 - 0 قالك قطعو علينا الأنترنت,magreb
270,وجهها مثل الركبة و تقول تحرش 😂.,1,هذه قبيحة,gulf
271,وشنهي بيبيطو وو ؟ ها راك كبير,1,ما هو بيبيطو ؟ أنت كبير,magreb
272,هذا وش راه يدير ، حاط روحو حمّة,1,ماذا يفعل هذا ؟ يظن نفسه قوي وهو ضعيف,magreb
273,تبدلني أنا 90 كيلو شحم ولحم بزوج كيلو بطاطا,1,تبدلني أنا بكل وزني بهذه النحيلة,magreb
274,عاش يتمنى في عنبة مات جابولو عنقود ههههههههههههههههههههههههههههههههههه,1,غير محظوظ,magreb
275,قال حين أتزوجك سألف بك العالم فقالت و متى أصبحت ابن بطوطة يا سخيف,1,كاذب و سخبف,msa
276,سيبك منه ده عامل نفسه سبع البرومبة ,1,عامل نفسه شجاع ,nile
277,السياسيون مثل حفاضات الأطفال يجب تغييرهم باستمرار ولنفس الأسباب ,1,السياسيون يجب تغييرهم دوما ,msa
278,مفيش أسهل من الإقلاع عن التدخين لقد قمت بذلك مئات المرات,1,الإقلاع عن التدخين صعب ,msa
279,ليست المشكلة انى فائق الذكاء ولكن انى أقضى كثير من الوقت فى حل المشاكل ,1,انى لست ذكى ,msa
280,لا يوجد فى الهند سياسى شجاع بما فيه الكفاية لأن يحاول شرح أن الأبقار يمكن أكلها,1,لايوجد احد فى الهند يستطيع أن يقول أن الأبقار تؤكل ,msa
281,هذا الشخص مقطع السمكة وديلها,1,شخص كسول لا يعمل او يعمل ببطء شديد,nile
282,ده فاكر نفسه نجيب سويرس,1,ده فقير,nile
283,قد النملة وتعمل عملة كيف كده,1,انت صغير  ما تقدرش,nile
284,ايش تعمل الماشطة فى الوش العكر,1,انت وحش وشكلك بشع,nile
285,طاجن محمد طاجن بيبدع ف الملعب,1,طاهر محمد طاهر,nile
286,عامل فيها ميسى و هو مش بيعرف يمشى اصلا ,1,مش بيعرف يلعب كورة,nile
287,حتى المثل اتقلب دلوقتى ل امشى عدل يحتار عدوك و صديقك فيك ,1,محدش بيحب الخير لحد,nile
288,سبحان الله ميسى فى الملعب عامل زى القطط بسبع ارواح,1,قوى بدنيا و مش بيتعب,nile
289,للاسف رغم انى دكتور و ناجح الا ان ابنى فشل باب النجار مخلع,1,فشل ابنى درسيا ,nile
290,غبي اوي اللي فاكر نفسه مفيش زيه,1,واثق من نفسه,nile
291,بحبك جدا رغم عيوبه بس هو حمار,1,مش مقدر حبي,nile
292,الزمالك فريق فاشل وعشان مباره فازها شاف نفسه علينا,1,الزمالك فريق  فاشل ومغرور,nile
293,ماتش صعب ايه بس ده الفرقه كانت بتقابل نفسها ,1,ماتش سهل امام منافس ضعيف,nile
294,مرة أستاذ كيمياء خلف ولد سماه سامي أكسيد الكربون,1,مدرس كيمياء يسمي ابنه سامى ,nile
295,فينجر طلب مني الخضوع لاختبار قبل ضمي للأرسنال، في البداية وافقت ثم أجبته كما يلي زلاتان لا يقوم بالاختبارات   😂 ,1,مدرب فريق ارسنال يطلب من اللاعب ابراهيموفيتش الدخول فى اختبارات قبل الانضمام لكنه يرفض,msa
296,علاقة ترامب بالسياسه زى علاقتى باللغه الصينيه,1,ترامب فاشل على المستوى السياسي,nile
297, ميزانية الفيلم ده ماتعديش التسعه جنيه ونص ويقولك ان السينما عندنا قويه ومصروف عليها,1,انتاج ضعيف وجوده رديئه للفيلم ,nile
298,من طلب العلا شافلة واسطه أما سهر الليالي ده فيلم تشوفه مع امك,1,من طلب العلا,nile
299,المرتبات الكبيرة دى بتاعت العيال التوتو أما صراع البقاء على قيد الحياة لاخر الشهر ده للرجالة,1,المرتبات الكبيرة,nile
300,لما تحفظ اغنيه وتمشى تغنيها فى البيت واهلك بقولك ده لو المنهج مكنش تحفظة كده ,1,لما تحفظ اغنيه وتمشى تغنيها فى البيت,nile
301,دى فاكره نفسها هيفاء وهبي,1,دى فاكره نفسها جميله,nile
302,ده فاكر نفسه مرسى وهو بيلعب الكره,1,فاكر نفسه بيلعب كويس,nile
303,الحلو حلو من يومه حتي لو قايم من نومه,1,مش حلوه,nile
304,تعيش عمرك كله تشتغل وف الاخر بتاخد حاجه عنب,1,مفيش فلوس ع اد التعب,nile
305,الى يعوزه البيت يحرم على الجامع,1,منع اعطاء الضرايب,nile
306,ديل الكلب عمره ماينعدل لو علقوا فيه قالب,1,اى ان الطبع غلاب,nile
307,خلصت الاكل كله وف الاخر هفتانه,1,طفاسه,nile
308,كل الصرف ده وفي الاخر بقي ايه,1,ده معفن,nile
309,الشعر عنوان جمال المراه وهي جوابها باين من عنوانه,1,شعرها مش حلو,nile
